model,split,season,metric,value
lstm,val,all,mae_masked_hour_08,53.72843803446844
lstm,val,all,rmse_masked_hour_08,74.52000776047116
lstm,val,all,mae_masked_hour_09,74.12352960402643
lstm,val,all,rmse_masked_hour_09,102.74749433264556
lstm,val,all,mae_masked_hour_10,92.83951877169505
lstm,val,all,rmse_masked_hour_10,125.0771041995284
lstm,val,all,mae_masked_hour_11,99.88008976812858
lstm,val,all,rmse_masked_hour_11,136.16559587772136
lstm,val,all,mae_masked_hour_12,106.36841028659907
lstm,val,all,rmse_masked_hour_12,144.40809855681417
lstm,val,all,mae_masked_hour_13,97.57874126067453
lstm,val,all,rmse_masked_hour_13,133.68987521135656
lstm,val,all,mae_masked_hour_14,90.71739588055314
lstm,val,all,rmse_masked_hour_14,119.72786784005872
lstm,val,all,mae_masked_hour_15,73.38298152345008
lstm,val,all,rmse_masked_hour_15,94.33569284751127
lstm,val,all,mae_masked_hour_16,45.00128737324793
lstm,val,all,rmse_masked_hour_16,57.83677714238912
lstm,val,all,mae_masked_hour_17,17.523363158172693
lstm,val,all,rmse_masked_hour_17,22.5900427126587
lstm,val,all,mae_masked_month_01,47.19534861262295
lstm,val,all,rmse_masked_month_01,65.22689690755224
lstm,val,all,mae_masked_month_02,60.889028778346415
lstm,val,all,rmse_masked_month_02,80.21459760685032
lstm,val,all,mae_masked_month_03,52.12464024554105
lstm,val,all,rmse_masked_month_03,71.58478287357539
lstm,val,all,mae_masked_month_04,73.09776217255062
lstm,val,all,rmse_masked_month_04,107.88928382297797
lstm,val,all,mae_masked_month_05,60.39657361986301
lstm,val,all,rmse_masked_month_05,81.6242343384453
lstm,val,all,mae_masked_month_06,89.46573995974927
lstm,val,all,rmse_masked_month_06,130.0523654674199
lstm,val,all,mae_masked_month_07,72.19835455852183
lstm,val,all,rmse_masked_month_07,103.09716952522459
lstm,val,all,mae_masked_month_08,101.98237078419606
lstm,val,all,rmse_masked_month_08,155.83112098129195
lstm,val,all,mae_masked_month_09,73.59921185737433
lstm,val,all,rmse_masked_month_09,93.22214890632212
lstm,val,all,mae_masked_month_10,77.13488939458311
lstm,val,all,rmse_masked_month_10,109.93990794328562
lstm,val,all,mae_masked_month_11,63.08463139882222
lstm,val,all,rmse_masked_month_11,95.14752463967402
lstm,val,all,mae_masked_month_12,48.095434457100204
lstm,val,all,rmse_masked_month_12,69.31531186700529
persistence,test,all,mae_masked,77.84651454244504
persistence,test,all,rmse_masked,123.34798990516175
persistence,test,all,mape_masked,21.640170626310763
persistence,test,all,mae_unmasked,37.74709935897435
persistence,test,all,rmse_unmasked,85.82451000303996
persistence,test,all,n_hours_masked,4229.0
persistence,test,all,n_hours_total,8736.0
persistence,test,all,n_forecast_days,364.0
persistence,test,all,skill_score_masked,0.0
persistence,test,all,skill_score_unmasked,0.0
persistence,test,wet,mae_masked,90.60609028617493
persistence,test,wet,rmse_masked,140.14666586258207
persistence,test,wet,mape_masked,26.271413417918506
persistence,test,wet,mae_unmasked,44.050842949344805
persistence,test,wet,rmse_unmasked,97.62895444618182
persistence,test,wet,n_hours_masked,2481.0
persistence,test,wet,n_hours_total,5113.0
persistence,test,wet,n_forecast_days,364.0
persistence,test,wet,skill_score_masked,0.0
persistence,test,wet,skill_score_unmasked,0.0
persistence,test,dry,mae_masked,59.73638443935928
persistence,test,dry,rmse_masked,94.51048044991698
persistence,test,dry,mape_masked,15.066879227009384
persistence,test,dry,mae_unmasked,28.85086944521115
persistence,test,dry,rmse_unmasked,65.648050392546
persistence,test,dry,n_hours_masked,1748.0
persistence,test,dry,n_hours_total,3623.0
persistence,test,dry,n_forecast_days,364.0
persistence,test,dry,skill_score_masked,0.0
persistence,test,dry,skill_score_unmasked,0.0
persistence,test,all,mae_masked_hour_06,9.297526881720431
persistence,test,all,rmse_masked_hour_06,12.63982270133355
persistence,test,all,mae_masked_hour_07,34.639258241758235
persistence,test,all,rmse_masked_hour_07,48.3399773837508
persistence,test,all,mae_masked_hour_08,63.830384615384624
persistence,test,all,rmse_masked_hour_08,96.11266249151977
persistence,test,all,mae_masked_hour_09,82.38593406593407
persistence,test,all,rmse_masked_hour_09,128.2416180346842
persistence,test,all,mae_masked_hour_10,94.9962087912088
persistence,test,all,rmse_masked_hour_10,143.97426237482043
persistence,test,all,mae_masked_hour_11,109.7067857142857
persistence,test,all,rmse_masked_hour_11,161.14420985922467
persistence,test,all,mae_masked_hour_12,125.07810439560441
persistence,test,all,rmse_masked_hour_12,176.01510106372274
persistence,test,all,mae_masked_hour_13,128.31736263736263
persistence,test,all,rmse_masked_hour_13,171.38972780071853
persistence,test,all,mae_masked_hour_14,112.54186813186813
persistence,test,all,rmse_masked_hour_14,155.0811994826163
persistence,test,all,mae_masked_hour_15,86.17043956043956
persistence,test,all,rmse_masked_hour_15,115.41627574866686
persistence,test,all,mae_masked_hour_16,46.582857142857144
persistence,test,all,rmse_masked_hour_16,61.87030820928637
persistence,test,all,mae_masked_hour_17,15.329645161290324
persistence,test,all,rmse_masked_hour_17,20.930737167789786
persistence,test,all,mae_masked_month_01,50.16996969696969
persistence,test,all,rmse_masked_month_01,75.12814777956314
persistence,test,all,mae_masked_month_02,41.36689655172413
persistence,test,all,rmse_masked_month_02,58.44913645513591
persistence,test,all,mae_masked_month_03,45.12301630434783
persistence,test,all,rmse_masked_month_03,69.17476813454014
persistence,test,all,mae_masked_month_04,70.15222841225626
persistence,test,all,rmse_masked_month_04,107.31852832186023
persistence,test,all,mae_masked_month_05,88.37943548387095
persistence,test,all,rmse_masked_month_05,134.85862134600103
persistence,test,all,mae_masked_month_06,104.74422222222222
persistence,test,all,rmse_masked_month_06,149.7474002723698
persistence,test,all,mae_masked_month_07,121.41701612903228
persistence,test,all,rmse_masked_month_07,177.79424174321005
persistence,test,all,mae_masked_month_08,104.33717741935484
persistence,test,all,rmse_masked_month_08,165.53456165369735
persistence,test,all,mae_masked_month_09,69.83852367688021
persistence,test,all,rmse_masked_month_09,105.80372984853003
persistence,test,all,mae_masked_month_10,67.58638888888889
persistence,test,all,rmse_masked_month_10,103.12955306581888
persistence,test,all,mae_masked_month_11,99.75128440366973
persistence,test,all,rmse_masked_month_11,153.27017808302583
persistence,test,all,mae_masked_month_12,63.69616314199396
persistence,test,all,rmse_masked_month_12,97.93483746874863
lstm,test,all,mae_masked,62.81647449567498
lstm,test,all,rmse_masked,90.78400676778315
lstm,test,all,mape_masked,21.00544042892006
lstm,test,all,mae_unmasked,34.28236717724775
lstm,test,all,rmse_unmasked,63.68036716807013
lstm,test,all,n_hours_masked,4229.0
lstm,test,all,n_hours_total,8736.0
lstm,test,all,n_forecast_days,364.0
lstm,test,all,skill_score_masked,0.2640009226126505
lstm,test,all,skill_score_unmasked,0.2580165367001277
lstm,test,wet,mae_masked,70.6763564763638
lstm,test,wet,rmse_masked,100.13412977086628
lstm,test,wet,mape_masked,24.62821952055319
lstm,test,wet,mae_unmasked,38.477263435542994
lstm,test,wet,rmse_unmasked,70.21246618978753
lstm,test,wet,n_hours_masked,2481.0
lstm,test,wet,n_hours_total,5113.0
lstm,test,wet,n_forecast_days,364.0
lstm,test,wet,skill_score_masked,0.2855047306722891
lstm,test,wet,skill_score_unmasked,0.2808233316839185
lstm,test,dry,mae_masked,51.66065802308405
lstm,test,dry,rmse_masked,75.55175090544107
