epoch,train_loss,val_loss,val_masked_mae_wm2
1,0.08857231672109493,0.06527457974750286,81.21868516915896
2,0.0551654303356357,0.058462402525499044,73.74352356042492
3,0.05209990374923304,0.05824543049558545,69.82034956807901
4,0.04961568812783861,0.06238691166401195,75.0218114261901
5,0.04662034170567576,0.05730924013220524,68.76407980772318
6,0.04378571799695432,0.06183130019492199,67.92662029737672
7,0.04098266063127039,0.05819826028326569,68.65431139469528
8,0.037453899099600715,0.06634838920791926,72.07413316655908
9,0.034577054123001334,0.06408577012416743,70.20102105880318
10,0.03135646918179125,0.07338110189322589,76.52736114382694
11,0.029020892078400078,0.06665329671334735,73.94766705015499
12,0.027024296887560875,0.06971117394404158,79.09264420057521
13,0.024587414240112487,0.0717278889246105,77.12141317947422
14,0.023106117549175458,0.07386677356469619,80.1143418489844
15,0.02108357906828584,0.07174393214703215,76.16299216016847
